# SUPERMICRO-HEALTH-MIB list of identifiers (generated by smidump 0.4.8)

SUPERMICRO-HEALTH-MIB SMHealthInfoTypes                      type        
SUPERMICRO-SSM-MIB    ueccLogTable                           table        1.3.6.1.4.1.10876.100.1.8.2
SUPERMICRO-SSM-MIB    ueccLogEntry                           row          1.3.6.1.4.1.10876.100.1.8.2.1
SUPERMICRO-SSM-MIB    ueccLogDatetime                        column       1.3.6.1.4.1.10876.100.1.8.2.1.1
SUPERMICRO-SSM-MIB    ueccLogInfo                            column       1.3.6.1.4.1.10876.100.1.8.2.1.2
SUPERMICRO-SSM-MIB    ueccLogIndex                           column       1.3.6.1.4.1.10876.100.1.8.2.1.10
SUPERMICRO-SSM-MIB    postLogTable                           table        1.3.6.1.4.1.10876.100.1.8.8
SUPERMICRO-SSM-MIB    postLogEntry                           row          1.3.6.1.4.1.10876.100.1.8.8.1
SUPERMICRO-SSM-MIB    postLogDatetime                        column       1.3.6.1.4.1.10876.100.1.8.8.1.1
SUPERMICRO-SSM-MIB    postLogInfo                            column       1.3.6.1.4.1.10876.100.1.8.8.1.2
SUPERMICRO-SSM-MIB    postLogIndex                           column       1.3.6.1.4.1.10876.100.1.8.8.1.10
SUPERMICRO-SSM-MIB    cpuLogTable                            table        1.3.6.1.4.1.10876.100.1.8.11
SUPERMICRO-SSM-MIB    cpuLogEntry                            row          1.3.6.1.4.1.10876.100.1.8.11.1
SUPERMICRO-SSM-MIB    cpuLogDatetime                         column       1.3.6.1.4.1.10876.100.1.8.11.1.1
SUPERMICRO-SSM-MIB    cpuLogInfo                             column       1.3.6.1.4.1.10876.100.1.8.11.1.2
SUPERMICRO-SSM-MIB    cpuLogIndex                            column       1.3.6.1.4.1.10876.100.1.8.11.1.10
SUPERMICRO-SSM-MIB    raidAdapterTable                       table        1.3.6.1.4.1.10876.100.1.9
SUPERMICRO-SSM-MIB    raidAdapterEntry                       row          1.3.6.1.4.1.10876.100.1.9.1
SUPERMICRO-SSM-MIB    raidAdapterIndex                       column       1.3.6.1.4.1.10876.100.1.9.1.1
SUPERMICRO-SSM-MIB    raidAdapterGroup                       column       1.3.6.1.4.1.10876.100.1.9.1.2
SUPERMICRO-SSM-MIB    raidAdapterId                          column       1.3.6.1.4.1.10876.100.1.9.1.3
SUPERMICRO-SSM-MIB    raidAdapterProductName                 column       1.3.6.1.4.1.10876.100.1.9.1.4
SUPERMICRO-SSM-MIB    raidAdapterSerialNumber                column       1.3.6.1.4.1.10876.100.1.9.1.5
SUPERMICRO-SSM-MIB    raidAdapterFWPackageBuild              column       1.3.6.1.4.1.10876.100.1.9.1.6
SUPERMICRO-SSM-MIB    raidAdapterFWVersion                   column       1.3.6.1.4.1.10876.100.1.9.1.7
SUPERMICRO-SSM-MIB    raidAdapterBIOSVersion                 column       1.3.6.1.4.1.10876.100.1.9.1.8
SUPERMICRO-SSM-MIB    raidAdapterVendorId                    column       1.3.6.1.4.1.10876.100.1.9.1.9
SUPERMICRO-SSM-MIB    raidAdapterDeviceId                    column       1.3.6.1.4.1.10876.100.1.9.1.10
SUPERMICRO-SSM-MIB    raidAdapterSubVendorId                 column       1.3.6.1.4.1.10876.100.1.9.1.11
SUPERMICRO-SSM-MIB    raidAdapterSubDeviceId                 column       1.3.6.1.4.1.10876.100.1.9.1.12
SUPERMICRO-SSM-MIB    raidIsBBUAbsent                        column       1.3.6.1.4.1.10876.100.1.9.1.13
SUPERMICRO-SSM-MIB    raidIsBBUAbsentIgnored                 column       1.3.6.1.4.1.10876.100.1.9.1.14
SUPERMICRO-SSM-MIB    raidAdapterAllinoneStatus              column       1.3.6.1.4.1.10876.100.1.9.1.15
SUPERMICRO-SSM-MIB    raidAdapterAllinoneMsg                 column       1.3.6.1.4.1.10876.100.1.9.1.16
SUPERMICRO-SSM-MIB    raidBBUTable                           table        1.3.6.1.4.1.10876.100.1.10
SUPERMICRO-SSM-MIB    raidBBUEntry                           row          1.3.6.1.4.1.10876.100.1.10.1
SUPERMICRO-SSM-MIB    raidBBUIndex                           column       1.3.6.1.4.1.10876.100.1.10.1.1
SUPERMICRO-SSM-MIB    raidAdapterGroup-BBU                   column       1.3.6.1.4.1.10876.100.1.10.1.2
SUPERMICRO-SSM-MIB    raidAdapterId-BBU                      column       1.3.6.1.4.1.10876.100.1.10.1.3
SUPERMICRO-SSM-MIB    raidBBUStatus                          column       1.3.6.1.4.1.10876.100.1.10.1.8
SUPERMICRO-SSM-MIB    raidBBUAllinoneStatus                  column       1.3.6.1.4.1.10876.100.1.10.1.9
SUPERMICRO-SSM-MIB    raidBBUAllinoneMsg                     column       1.3.6.1.4.1.10876.100.1.10.1.10
SUPERMICRO-SSM-MIB    raidVDTable                            table        1.3.6.1.4.1.10876.100.1.11
SUPERMICRO-SSM-MIB    raidVDEntry                            row          1.3.6.1.4.1.10876.100.1.11.1
SUPERMICRO-SSM-MIB    raidVDIndex                            column       1.3.6.1.4.1.10876.100.1.11.1.1
SUPERMICRO-SSM-MIB    raidAdapterGroup-VD                    column       1.3.6.1.4.1.10876.100.1.11.1.2
SUPERMICRO-SSM-MIB    raidAdapterId-VD                       column       1.3.6.1.4.1.10876.100.1.11.1.3
SUPERMICRO-SSM-MIB    raidDiskGroupId                        column       1.3.6.1.4.1.10876.100.1.11.1.4
SUPERMICRO-SSM-MIB    raidVDId                               column       1.3.6.1.4.1.10876.100.1.11.1.5
SUPERMICRO-SSM-MIB    raidVDTargetId                         column       1.3.6.1.4.1.10876.100.1.11.1.6
SUPERMICRO-SSM-MIB    raidVDName                             column       1.3.6.1.4.1.10876.100.1.11.1.7
SUPERMICRO-SSM-MIB    raidVDRaidLevel                        column       1.3.6.1.4.1.10876.100.1.11.1.8
SUPERMICRO-SSM-MIB    raidVDSize                             column       1.3.6.1.4.1.10876.100.1.11.1.9
SUPERMICRO-SSM-MIB    raidVDMirrorDataSize                   column       1.3.6.1.4.1.10876.100.1.11.1.10
SUPERMICRO-SSM-MIB    raidVDStripSize                        column       1.3.6.1.4.1.10876.100.1.11.1.11
SUPERMICRO-SSM-MIB    raidVDNumDrives                        column       1.3.6.1.4.1.10876.100.1.11.1.12
SUPERMICRO-SSM-MIB    raidVDSpanDepth                        column       1.3.6.1.4.1.10876.100.1.11.1.13
SUPERMICRO-SSM-MIB    raidVDDefaultCachePolicy               column       1.3.6.1.4.1.10876.100.1.11.1.14
SUPERMICRO-SSM-MIB    raidVDCurrentCachePolicy               column       1.3.6.1.4.1.10876.100.1.11.1.15
SUPERMICRO-SSM-MIB    raidVDDefaultAccessPolicy              column       1.3.6.1.4.1.10876.100.1.11.1.16
SUPERMICRO-SSM-MIB    raidVDCurrentAccessPolicy              column       1.3.6.1.4.1.10876.100.1.11.1.17
SUPERMICRO-SSM-MIB    raidVDDiskCachePolicy                  column       1.3.6.1.4.1.10876.100.1.11.1.18
